Date,Title,Short Description,Link
9 September 2024,TEN-T Corridor Coordinators,"Nine European Coordinators have been designated today to help complete the trans-European transport network (TEN-T), a vast infrastructure network of railways, roads, and inland waterways connecting the European Union.",https://transport.ec.europa.eu/news-events/news/ten-t-corridor-coordinators-2024-09-09_en
29 August 2024,"Sustainable Transport Forum - new sub-groups on hydrogen infrastructure, zero-emission heavy-duty vehicles and public key infrastructure for e-mobility","In the wake of the adoption of the new Alternative Fuels Infrastructure Regulation (AFIR), the European Commission has set up three new sub-groups under the Sustainable Transport Forum (STF) expert group.",https://transport.ec.europa.eu/news-events/news/sustainable-transport-forum-new-sub-groups-hydrogen-infrastructure-zero-emission-heavy-duty-vehicles-2024-08-29_en
14 August 2024,Solidarity Lanes: Latest figures – July 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-july-2024-2024-08-14_en
31 July 2024,Commission enforces temporary restrictions on liquid screening at certain EU airports,The Commission will temporarily enforce restrictions on liquid screening at EU airports utilising Explosive Detection Systems for Cabin Baggage (EDSCB).,https://transport.ec.europa.eu/news-events/news/commission-enforces-temporary-restrictions-liquid-screening-certain-eu-airports-2024-07-31_en
29 July 2024,European Commission launches Ship Financing Portal to boost the maritime sector's green transition,"The Ship Financing Portal, designed to improve access to financing for the shipping sector and the wider maritime industry, is now online!",https://transport.ec.europa.eu/news-events/news/european-commission-launches-ship-financing-portal-boost-maritime-sectors-green-transition-2024-07-29_en
25 July 2024,July infringement package: key decisions,July infringement package: key decisions,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/inf_24_3228
23 July 2024,FuelEU Maritime Regulation: Q&A on implementation,"As the maritime sector prepares for the FuelEU Maritime Regulation, a new Commission document answers key questions on its implementation.",https://transport.ec.europa.eu/news-events/news/fueleu-maritime-regulation-qa-implementation-2024-07-23_en
22 July 2024,Solidarity Lanes: Latest figures – June 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-june-2024-2024-07-22_en
22 July 2024,Commission publishes new guidelines for more clarity on air passenger rights,"While more citizens of the European Union are aware of their EU passenger rights than was the case five years ago, the majority do not consider that they have enough information, according to the results of a Eurobarometer survey released today.",https://transport.ec.europa.eu/news-events/news/commission-publishes-new-guidelines-more-clarity-air-passenger-rights-2024-07-22_en
17 July 2024,"EU invests record €7 billion in sustainable, safe and smart transport infrastructure","The Commission has selected 134 projects to receive over €7 billion in EU grants from the Connecting Europe Facility (CEF), the EU's programme for investment in transport infrastructure.",https://transport.ec.europa.eu/news-events/news/eu-invests-record-eu7-billion-sustainable-safe-and-smart-transport-infrastructure-2024-07-17_en
2 July 2024,Solidarity Lanes: Latest figures – May 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-may-2024-2024-07-02_en
27 June 2024,"EU and ICAO strengthen commitment to global aviation safety, security, and sustainability","The EU and the ICAO have reaffirmed their commitment to enhancing global aviation safety, security, and sustainability during a meeting at ICAO Headquarters in Montreal on 26 June.",https://transport.ec.europa.eu/news-events/news/eu-and-icao-strengthen-commitment-global-aviation-safety-security-and-sustainability-2024-06-27_en
